favorited	contributors	truncated	text	created_at	retweeted	in_reply_to_status_id_str	coordinates	in_reply_to_user_id_str	source	in_reply_to_status_id	in_reply_to_screen_name	id_str	place	retweet_count	geo	id	in_reply_to_user_id
False	None	False	#EDL threats of rape towards chief Exposé admin @exposingdarcyhttp://t.co/EYm4fFbY	Wed Jan 16 15:30:42 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	291568167648628736	None	3	None	291568167648628736	None
False	None	False	#EDL's Joanne Dickens sick helicopter comments: http://t.co/gOeOgCwc #vauxhall	Wed Jan 16 12:20:13 +0000 2013	False	None	None	None	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	None	None	291520228444213248	None	1	None	291520228444213248	None
False	None	False	Bradford group is locked up for violence after #EDL Cleckheaton march (From Asian Image) http://t.co/2llm2BGx	Wed Jan 16 12:13:23 +0000 2013	False	None	None	None	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	None	None	291518510570549248	None	2	None	291518510570549248	None
False	None	False	Bye, then Don... #EDLhttp://t.co/12spvm3X	Tue Jan 15 20:17:11 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	291277875846475776	None	1	None	291277875846475776	None
False	None	False	When Facebook nazis decide to have a breakdown... #EDLhttp://t.co/hZL1WcD5	Tue Jan 15 18:50:28 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	291256051850940417	None	3	None	291256051850940417	None
False	None	False	According to the pretend political party which Kev Carroll leads, this is what he was arrested for. #EDLhttp://t.co/N3rXho3T	Tue Jan 15 18:49:41 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	291255852462137344	None	1	None	291255852462137344	None
False	None	False	@HUMPTYSCRUMPTY Care to point out any that haven't been in the news already? #EDL	Tue Jan 15 16:34:13 +0000 2013	False	291173684830429186	None	75080436	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	291173684830429186	HUMPTYSCRUMPTY	291221761893208064	None	0	None	291221761893208064	75080436
False	None	False	Gang Jailed Following Disorder in Kirklees: http://t.co/oZrt1qH5 #EDL	Tue Jan 15 12:58:28 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	291167467546480641	None	4	None	291167467546480641	None
False	None	False	BBC News - Small Heath mosque attack: Boy, 16, sentenced to four years http://t.co/GWHNoPPX #EDL	Tue Jan 15 07:55:00 +0000 2013	False	None	None	None	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	None	None	291091097806057473	None	5	None	291091097806057473	None
False	None	False	XEDL Tony Curtis confirms he, Jeff Marsh etc are orchestrating far-right unifying meetings without  #EDL involved. http://t.co/Dn94oYzF	Mon Jan 14 20:18:42 +0000 2013	False	None	None	None	<a href="http://twitpic.com" rel="nofollow">Twitpic</a>	None	None	290915867527626752	None	2	None	290915867527626752	None
False	None	False	Joint leader of #EDL Kevin Carroll arrested on suspicion of race hate crime - The Independent http://t.co/FQLbkSTP via @independent	Mon Jan 14 16:16:05 +0000 2013	False	None	None	None	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	None	None	290854811103006720	None	11	None	290854811103006720	None
False	None	False	FREE face to face, medical and finance consultations offered by Englands Golden Dawn http://t.co/12WSWTaJ #EDL	Mon Jan 14 12:29:03 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	290797676927270913	None	2	None	290797676927270913	None
False	None	False	“@bobpitt4: @EDLNewsXtra @ukpakman   I don't need promoting  cos I don't give a fuck.” &lt; Nor do you have anything to say... #EDL	Mon Jan 14 12:27:58 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	290797401843855360	None	0	None	290797401843855360	None
