contributors	truncated	text	in_reply_to_status_id	id	source	retweeted	coordinates	in_reply_to_screen_name	id_str	retweet_count	in_reply_to_user_id	favorited	geo	in_reply_to_user_id_str	possibly_sensitive	screen_name	created_at	in_reply_to_status_id_str	place
None	False	PvdA snoert Rutte de mond door afstand te eisen van kritische EU-speech Cameron vrijdag. #Ruttebedrijfspoedel http://t.co/1LF8ziXv	None	291452537016569856	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	False	None	None	291452537016569856	72	None	False	None	None	False	geertwilderspvv	Wed Jan 16 07:51:14 +0000 2013	None	None
False	None	False	5 miljard euro geeft EU aan Egyptische moslimbroeder Morsi. Van Rompuy collaboreert met islamofascisten. #enwijmaarbezuinigen	Mon Jan 14 12:03:47 +0000 2013	False	None	None	None	web	None	geertwilderspvv	None	290791316844060672	None	374	None	290791316844060672	None
None	False	Bezoek Australie in feb gaat definitief door. Verheug me erop. Strijd tegen islamisering is een internationale opdracht http://t.co/CaIDdCzR	None	290011608552443905	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	290011608552443905	177	None	False	None	None	False	geertwilderspvv	Sat Jan 12 08:25:30 +0000 2013	None	None
None	False	Pakt Den Haag het Marokkanenprobleem eindelijk aan? http://t.co/bZVLOumJ	None	289076324637757440	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	289076324637757440	183	None	False	None	None	False	geertwilderspvv	Wed Jan 09 18:29:01 +0000 2013	None	None
None	False	Dijsselbloem geen vz. van eurofielengroep. Kandidatuur intrekken of opstappen. Nederlands belang gaat boven eurobelang. http://t.co/lW8zXRvn	None	288965005490139137	<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	False	None	None	288965005490139137	74	None	False	None	None	False	geertwilderspvv	Wed Jan 09 11:06:40 +0000 2013	None	None
False	None	False	de wereld graait door....	Tue Jan 08 18:00:17 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	geertwilderspvv	None	288706708904222720	None	463	None	288706708904222720	None
None	False	Grootverdieners zitten dus vooral bij rode Vereniging Arbeiders Radio Amateurs. Links lullen en rechts zakken vullen. http://t.co/DNFqaiQo	None	288685986492334082	<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	False	None	None	288685986492334082	245	None	False	None	None	False	geertwilderspvv	Tue Jan 08 16:37:57 +0000 2013	None	None
None	False	Open brief aan alle fractievoorzitters om Marokkanenprobleem in Tweede Kamer te bespreken en niet langer weg te duiken: http://t.co/yZEHtLX9	None	288569650663550976	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	False	None	None	288569650663550976	195	None	False	None	None	False	geertwilderspvv	Tue Jan 08 08:55:40 +0000 2013	None	None
False	None	False	CPB pleit voor afpakken zorg. Asociaal. De PVV pleit voor aanpakken fraude, verspilling en vetbetaalde bestuurders in de zorg. #cpbwegermee	Tue Jan 08 07:42:17 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	geertwilderspvv	None	288551180139892737	None	213	None	288551180139892737	None
None	False	Parool: Marokkaanse jongens grootste groep topcriminelen. Vragen aan ministers: nu eindelijk optreden anders aftreden! http://t.co/cY6efTs0	None	287519921188007936	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	287519921188007936	341	None	False	None	None	False	geertwilderspvv	Sat Jan 05 11:24:25 +0000 2013	None	None
False	None	False	Ahmed K. was gewoon toe aan een dagje verlof. Juwelier overvallen, mensen met een mes bedreigen, dat soort dingen. #tbszotheidafschaffen	Fri Jan 04 12:01:18 +0000 2013	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	287166813396148224	None	758	None	287166813396148224	None
False	None	False	Weer tbs-er ontsnapt tijdens begeleid verlof. Onaanvaardbaar en levensgevaarlijk. Per onmiddellijk afschaffen dat tbs met verlof!!	Fri Jan 04 08:21:24 +0000 2013	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	287111475686940672	None	738	None	287111475686940672	None
None	False	'Islamsatire is dood in Nederland'. Angst en zelfcensuur laffe media oorzaak. Gaan we dus wat aan doen, meer info volgt http://t.co/DVvmbrxq	None	286815965629513729	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	286815965629513729	128	None	False	None	None	False	geertwilderspvv	Thu Jan 03 12:47:09 +0000 2013	None	None
None	False	Kamervragen over eerwraakmotief laffe moord op 16-jarige scholiere uit IJsselstein. Islam en vrijheid gaan niet samen. http://t.co/3u8ZaaCG	None	286771526307565569	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	286771526307565569	284	None	False	None	None	False	geertwilderspvv	Thu Jan 03 09:50:34 +0000 2013	None	None
None	False	Iedereen alvast een Gelukkig Nieuwjaar! Happy New Year!        שנה טובה http://t.co/GzD9jkRy	None	285805026843185152	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	285805026843185152	389	None	False	None	None	False	geertwilderspvv	Mon Dec 31 17:50:03 +0000 2012	None	None
None	False	Moskee kan geen toevluchtsoord voor in het rond schietende verdachten zijn: sluiten die tent! Kamervragen: http://t.co/shY3TVlp	None	285341303816982529	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	285341303816982529	308	None	False	None	None	False	geertwilderspvv	Sun Dec 30 11:07:22 +0000 2012	None	None
None	False	Wat zou het geweldig zijn een NL zonder islam en zonder marokkaans racistisch geweld. Belangrijke prioriteit voor 2013! http://t.co/KSSHqQPf	None	284212308006293505	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	284212308006293505	635	None	False	None	None	False	geertwilderspvv	Thu Dec 27 08:21:09 +0000 2012	None	None
False	None	False	Klein foutje in kersttoespraak Koningin: "Europa, dat zijn we zelf" had natuurlijk moeten zijn "Europa, dat betalen we zelf".	Tue Dec 25 12:30:29 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	283550278295359488	None	1601	None	283550278295359488	None
None	False	Krankzinning voornemen: islamitische gebedsruimte in Pretpark Walibi Holland. Geen islamisering van onze pretparken! http://t.co/2IvYLXw9	None	283122460893777921	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	283122460893777921	1345	None	False	None	None	False	geertwilderspvv	Mon Dec 24 08:10:29 +0000 2012	None	None
None	False	Namens alle PVV-gekozenen en medewerkers wens ik iedereen hele prettige kerstdagen en een gezond en gelukkig 2013!! http://t.co/Bi2O2Sx2	None	282779207405281281	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	282779207405281281	404	None	False	None	None	False	geertwilderspvv	Sun Dec 23 09:26:32 +0000 2012	None	None
None	False	Ideologie of idiotie? http://t.co/7cuG5l3c	None	282166872328265730	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	282166872328265730	431	None	False	None	None	False	geertwilderspvv	Fri Dec 21 16:53:19 +0000 2012	None	None
None	False	Marokkaanse leerlingen tuigen buurtbewoners af, school weigert hulp politie. Pak 't Marokkaanse tuig aan! Kamervragen: http://t.co/dl7mctZJ	None	281716762670665728	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	281716762670665728	617	None	False	None	None	False	geertwilderspvv	Thu Dec 20 11:04:44 +0000 2012	None	None
